Identifiant,Prénom Nom,2023-06-30',2023-06-09',2023-05-26',2023-04-07',2023-03-17',2023-02-10',2023-01-20',2022-12-16',2022-11-18',2022-10-21',2022-09-23',2022-07-08',2022-06-17,2022-05-19,2022-04-29,2022-04-01,2022-03-04,2022-01-27,2021-12-10,2021-11-19',2021-10-22',2021-09-24',2021-07-08,2021-06-17,2021-05-28,2021-04-23',2021-03-25',2021-02-19',2021-01-22',2020-12-11',2020-11-28',2020-11-13',2020-10-15,2020-09-17,2020-07-15
18,Yves PIQUOT,PRE,ABS:1,PRE,PRE,PRE,PRE,PRE,PRE,ABS:1,PRE,PRE,PRE,PRE,ABS:1,PRE,PRE,PRE,PRE,PRE,PRE,PRE,PRE,PRE,PRE,PRE, PRE,PRE,PRE,PRE,PRE,PRE,PRE,PRE,PRE,PRE
19,Salima BOUKENTAR,PRE,PRE,PRE,PRE,PRE,PRE,PRE,PRE,PRE,PRE,PRE,ABS:33,PRE,PRE,PRE,PRE,PRE,PRE,PRE,ABS:17,PRE,PRE,PRE,ABS:33,PRE, PRE,PRE,PRE,PRE,PRE,PRE,ABS:10,PRE,PRE,PRE
20,Sébastien LANCLU,PRE,PRE,PRE,PRE,PRE,PRE,PRE,PRE,PRE,PRE,PRE,PRE,PRE,ABS:12,PRE,PRE,PRE,PRE,PRE,PRE,PRE,PRE,PRE,PRE,PRE, PRE,PRE,PRE,PRE,PRE,PRE,PRE,PRE,PRE,PRE
21,Nora CHERKI ,ABS:6,PRE,ABS:6,ABS:14,PRE,PRE,PRE,ABS:14,PRE,PRE,PRE,PRE,-PRE,PRE,PRE,PRE,PRE,PRE,PRE,PRE,PRE,PRE,PRE,PRE,PRE, PRE,PRE,PRE,PRE,PRE,PRE,PRE,PRE,PRE,PRE
22,Maxime DECUPPER-LAUD,PRE,PRE,PRE,PRE,ABS:12,PRE,PRE,-PRE,ABS:12,PRE,ABS:12,ABS:12,PRE,PRE,PRE,PRE,PRE,ABS:12,PRE,PRE,PRE,ABS:12,ABS:12,PRE,PRE, PRE,PRE,PRE,PRE,PRE,PRE,PRE,PRE,PRE,PRE
23,Guy LAGACHE,PRE,PRE,PRE,ABS:3,PRE,PRE,PRE,-PRE,ABS:2,PRE,PRE,PRE,PRE,PRE,PRE,PRE,PRE,PRE,PRE,PRE,PRE,PRE,,,,,,,,,,,,,
24,Chantal RYBAK,ABS:25,PRE,PRE,PRE,PRE,PRE,PRE,-PRE,PRE,PRE,PRE,ABS:28,PRE,PRE,-PRE:25,PRE,PRE,PRE,PRE,ABS:28,PRE,PRE,PRE,ABS:28,PRE,PRE,PRE,PRE,PRE,PRE,PRE,PRE,PRE,PRE,PRE
25,Franz QUATREBOEUFS,PRE,PRE,PRE,PRE,PRE,PRE,PRE,-PRE,-PRE,PRE,PRE,PRE,PRE,PRE,PRE,PRE,PRE,PRE,PRE,PRE,PRE,PRE,PRE,PRE,PRE,PRE,PRE,PRE,PRE,PRE,PRE,PRE,PRE,PRE,PRE
26,Anne COLIN,PRE,PRE,PRE,PRE,ABS:28,PRE,PRE,ABS:36,PRE,PRE,PRE,PRE,PRE,PRE,PRE,PRE,ABS:28,PRE,PRE,PRE,PRE,PRE,PRE,PRE,PRE,PRE,PRE,PRE,PRE,PRE,PRE,PRE,,,
27,Xavier THIERRY,PRE,PRE,PRE,PRE,ABS:36,PRE,PRE,-PRE:29,PRE,PRE,PRE,PRE,PRE,PRE,PRE,PRE,PRE,PRE,PRE,PRE,PRE,PRE,ABS:28,PRE,PRE,PRE,PRE,PRE,PRE,PRE,PRE,PRE,PRE,-PRE,PRE
